STATION,STATION_NAME,DATE,EMXT,EMNT
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050801,96.1,57.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20050901,93.0,45.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20051001,82.9,36.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20051101,77.0,21.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20051201,59.0,17.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060101,64.9,21.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060201,68.0,14.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060301,84.9,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060401,84.0,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060501,95.0,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060601,93.0,52.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060701,98.1,59.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060801,99.0,57.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20060901,86.0,46.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20061001,84.0,34.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20061101,77.0,27.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20061201,75.0,19.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070101,68.0,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070201,55.9,10.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070301,82.9,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070401,84.9,30.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070501,91.9,39.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070601,96.1,54.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070701,98.1,57.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070801,100.9,61.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20070901,93.0,48.9
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20071001,93.0,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20071101,75.0,25.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20071201,63.0,19.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080101,71.1,16.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080201,72.0,15.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080301,72.0,26.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080401,84.9,35.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080501,84.9,41.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080601,96.1,55.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080701,95.0,62.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080801,93.0,60.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20080901,95.0,50.0
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20081001,82.0,33.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20081101,75.0,24.1
GHCND:USC00186350,NATIONAL ARBORETUM DC DC US,20081201,70.0,16.0
